"","TimeStamp","Solution","Requester","ASN"
"109",43292,346,2,112
"110",25966,331,2,112
"111",18255,314,2,112
"112",38035,328,2,112
"113",43285,1787,2,112
"114",43281,1777,2,112
"115",42229,581,2,112
"116",21051,23,2,112
"117",21050,334,2,112
"118",25979,324,2,112
"119",18535,357,2,112
"120",43286,364,2,112
"121",43276,1783,2,112
"122",56937,306,2,112
"123",18546,367,2,112
"124",38028,319,2,112
"125",18571,319,2,112
"126",21053,356,2,112
"127",18584,345,2,112
"128",18489,344,2,112
"129",43277,1788,2,112
"130",56921,356,2,112
"131",38893,1793,2,112
"132",56937,304,2,112
"133",38103,19,2,112
"134",18485,364,2,112
"135",18546,366,2,112
"136",26261,345,2,112
"137",18254,325,2,112
"138",56929,318,2,112
"139",18572,323,2,112
"140",33820,1084,2,112
"141",40953,364,2,112
"142",38902,1788,2,112
"143",18570,321,2,112
"144",38065,347,2,112
"145",18588,315,2,112
"146",42226,573,2,112
"147",56938,337,2,112
"148",56938,338,2,112
"149",18546,301,2,112
"150",18485,356,2,112
"151",18304,322,2,112
"152",38036,325,2,112
"153",38061,352,2,112
"154",43283,1782,2,112
"155",18488,348,2,112
"156",18297,364,2,112
"157",18487,351,2,112
"158",48752,843,2,112
"159",25985,311,2,112
"160",1195,276,2,112
"161",18545,308,2,112
"162",18247,320,2,112
"163",25959,352,2,112
"164",56930,319,2,112
"165",18551,18,2,112
"166",43328,334,2,112
"167",43333,351,2,112
"168",38895,1792,2,112
"169",18567,330,2,112
"170",18302,316,2,112
"171",18585,329,2,112
"172",43271,1792,2,112
"173",56922,364,2,112
"174",18239,330,2,112
"175",18485,362,2,112
"176",1202,261,2,112
"177",18506,344,2,112
"178",56929,321,2,112
"179",38060,356,2,112
"180",33819,1086,2,112
"181",18252,327,2,112
"182",43360,308,2,112
"183",18551,19,2,112
"184",42229,582,2,112
"185",42227,574,2,112
"186",38900,1786,2,112
"187",38064,348,2,112
"188",43384,1779,2,112
"189",18585,330,2,112
"190",38037,314,2,112
"191",38897,1775,2,112
"192",18506,331,2,112
"193",18250,323,2,112
"194",56926,329,2,112
"195",18580,364,2,112
"196",43331,356,2,112
"197",43314,327,2,112
"198",25976,321,2,112
"199",48751,838,2,112
"200",18266,305,2,112
"201",18590,321,2,112
"202",25967,330,2,112
"203",48708,1540,2,112
"204",38027,318,2,112
"205",18545,311,2,112
"206",48697,1548,2,112
"207",40951,334,2,112
"208",38106,1086,2,112
"209",18586,344,2,112
"210",18238,331,2,112
"211",43269,1776,2,112
"212",18575,301,2,112
"213",48706,1536,2,112
"214",43353,322,2,112
"215",18576,360,2,112
"216",38069,331,2,112
"217",18569,316,2,112
"218",41144,305,2,112
"219",38057,1086,2,112
"220",18506,330,2,112
"221",18249,322,2,112
"222",43279,1778,2,112
"223",38107,1084,2,112
"224",18588,317,2,112
"225",43361,311,2,112
"226",18507,326,2,112
"227",18508,318,2,112
"228",18543,323,2,112
"229",25960,351,2,112
"230",38031,322,2,112
"231",38033,324,2,112
"232",18505,348,2,112
"233",48698,1525,2,112
"234",38030,321,2,112
"235",56928,316,2,112
"236",43329,23,2,112
"237",43318,314,2,112
"238",18494,308,2,112
"239",21055,351,2,112
"240",55746,673,2,112
"241",48754,841,2,112
"242",1198,263,2,112
"243",18313,18,2,112
"244",48706,1537,2,112
"245",18545,312,2,112
"246",40952,23,2,112
"247",18244,326,2,112
"248",43354,323,2,112
"249",38102,358,2,112
"250",18575,367,2,112
"251",56922,362,2,112
"252",43347,317,2,112
"253",38096,304,2,112
"254",43268,1790,2,112
"255",18301,330,2,112
"256",1194,273,2,112
"257",1203,262,2,112
"258",25963,346,2,112
"259",18569,317,2,112
"260",18301,331,2,112
"261",41140,303,2,112
"262",18543,322,2,112
"263",18505,346,2,112
"264",42225,577,2,112
"265",18248,321,2,112
"266",42228,580,2,112
"267",18543,324,2,112
"268",56940,342,2,112
"269",44580,785,2,112
"270",56937,361,2,112
"271",38903,1789,2,112
"272",1200,259,2,112
"273",38901,1783,2,112
"274",18545,313,2,112
"275",1196,277,2,112
"276",18580,362,2,112
"277",56926,344,2,112
"278",43317,325,2,112
"279",56931,327,2,112
"280",18487,352,2,112
"281",48750,842,2,112
"282",18304,323,2,112
"283",42206,786,2,112
"284",18516,18,2,112
"285",38058,1084,2,112
"286",38056,1085,2,112
"287",18537,348,2,112
"288",18245,318,2,112
"289",18536,350,2,112
"290",18302,326,2,112
"291",43351,320,2,112
"292",18563,318,2,112
"293",43296,1791,2,112
"294",56920,334,2,112
"295",43270,1781,2,112
"296",18312,354,2,112
"297",38034,327,2,112
"298",41141,361,2,112
"299",25958,356,2,112
"300",25957,364,2,112
"301",38105,1085,2,112
"302",18506,329,2,112
"303",42226,571,2,112
"304",18542,319,2,112
"305",38026,326,2,112
"306",18507,315,2,112
"307",42204,814,2,112
"308",26267,330,2,112
"309",38023,316,2,112
"310",43383,1777,2,112
"311",1192,271,2,112
"312",18304,327,2,112
"313",1197,274,2,112
"314",18544,328,2,112
"315",1201,260,2,112
"316",56926,331,2,112
"317",43324,301,2,112
"318",43320,311,2,112
"319",41121,317,2,112
"320",25977,322,2,112
"321",25973,318,2,112
"322",18575,303,2,112
"323",1189,269,2,112
"324",56936,303,2,112
"325",40954,356,2,112
"326",38054,19,2,112
"327",38890,1795,2,112
"328",38007,364,2,112
"329",56937,360,2,112
"330",18235,346,2,112
"331",43272,1775,2,112
"332",18267,343,2,112
"333",43348,326,2,112
"334",48705,1526,2,112
"335",18272,358,2,112
"336",18576,304,2,112
"337",38899,1785,2,112
"338",18515,359,2,112
"339",56924,350,2,112
"340",1176,295,2,112
"341",1178,289,2,112
"342",18567,344,2,112
"343",1183,266,2,112
"344",18505,347,2,112
"345",26263,344,2,112
"346",42225,569,2,112
"347",18540,315,2,112
"348",18541,321,2,112
"349",42206,785,2,112
"350",18537,347,2,112
"351",18543,327,2,112
"352",18540,326,2,112
"353",56940,359,2,112
"354",56941,19,2,112
"355",38072,315,2,112
"356",18580,357,2,112
"357",56927,330,2,112
"358",43322,313,2,112
"359",41125,320,2,112
"360",1211,284,2,112
"361",25978,323,2,112
"362",25983,314,2,112
"363",18507,317,2,112
"364",25981,328,2,112
"365",38008,356,2,112
"366",38104,18,2,112
"367",18246,319,2,112
"368",48708,1544,2,112
"369",18241,315,2,112
"370",18536,362,2,112
"371",18535,364,2,112
"372",43352,321,2,112
"373",38097,305,2,112
"374",18233,348,2,112
"375",48704,1524,2,112
"376",43349,318,2,112
"377",56935,301,2,112
"378",48706,1538,2,112
"379",42202,812,2,112
"380",26258,347,2,112
"381",41142,306,2,112
"382",48770,131,2,112
"383",42203,816,2,112
"384",25964,345,2,112
"385",42225,570,2,112
"386",18542,320,2,112
"387",41146,337,2,112
"388",41150,19,2,112
"389",38022,315,2,112
"390",18540,317,2,112
"391",41151,18,2,112
"392",41149,358,2,112
"393",1190,270,2,112
"394",18544,314,2,112
"395",18544,325,2,112
"396",56930,320,2,112
"397",38910,1787,2,112
"398",38071,329,2,112
"399",43321,312,2,112
"400",48699,1539,2,112
"401",1208,258,2,112
"402",18487,350,2,112
"403",18265,304,2,112
"404",38051,342,2,112
"405",18574,313,2,112
"406",18537,345,2,112
"407",18268,337,2,112
"408",18565,350,2,112
"409",38009,352,2,112
"410",18302,317,2,112
"411",48707,1542,2,112
"412",38099,337,2,112
"413",48758,826,2,112
"414",48759,831,2,112
"415",18564,357,2,112
"416",38094,361,2,112
"417",18515,342,2,112
"418",42223,562,2,112
"419",18514,343,2,112
"420",42220,591,2,112
"421",18516,19,2,112
"422",25962,347,2,112
"423",42224,568,2,112
"424",1185,275,2,112
"425",1181,264,2,112
"426",26265,331,2,112
"427",25961,348,2,112
"428",56925,348,2,112
"429",18508,321,2,112
"430",42203,783,2,112
"431",1188,268,2,112
"432",18540,316,2,112
"433",41148,354,2,112
"434",42206,802,2,112
"435",18588,326,2,112
"436",38032,323,2,112
"437",18581,350,2,112
"438",18581,351,2,112
"439",41119,315,2,112
"440",42193,821,2,112
"441",1214,291,2,112
"442",25974,319,2,112
"443",38053,358,2,112
"444",48752,840,2,112
"445",25982,325,2,112
"446",18567,331,2,112
"447",18566,345,2,112
"448",48760,832,2,112
"449",18302,315,2,112
"450",38095,306,2,112
"451",18563,319,2,112
"452",55752,650,2,112
"453",43345,315,2,112
"454",43343,1792,2,112
"455",21056,348,2,112
"456",18269,337,2,112
"457",18270,342,2,112
"458",56923,351,2,112
"459",18576,306,2,112
"460",18576,361,2,112
"461",43307,320,2,112
"462",1177,288,2,112
"463",18539,330,2,112
"464",42224,576,2,112
"465",41147,342,2,112
"466",43387,1787,2,112
"467",1180,287,2,112
"468",43310,322,2,112
"469",1187,267,2,112
"470",38015,344,2,112
"471",42205,808,2,112
"472",18507,316,2,112
"473",43313,324,2,112
"474",18539,331,2,112
"475",38025,317,2,112
"476",38898,1784,2,112
"477",56928,317,2,112
"478",38906,1777,2,112
"479",38904,1778,2,112
"480",41126,321,2,112
"481",42193,813,2,112
"482",1215,293,2,112
"483",48754,839,2,112
"484",38055,18,2,112
"485",38049,343,2,112
"486",55749,662,2,112
"487",18536,351,2,112
"488",43273,1784,2,112
"489",18236,345,2,112
"490",55755,635,2,112
"491",43297,1790,2,112
"492",43341,1790,2,112
"493",43267,1791,2,112
"494",18564,356,2,112
"495",18500,18,2,112
"496",41139,301,2,112
"497",43346,316,2,112
"498",18301,344,2,112
"499",18505,345,2,112
"500",18300,346,2,112
"501",42202,828,2,112
"502",18496,306,2,112
"503",18495,366,2,112
"504",18539,344,2,112
"505",42224,566,2,112
"506",38016,331,2,112
"507",18491,318,2,112
"508",41111,348,2,112
"509",41145,343,2,112
"510",55756,636,2,112
"511",1182,265,2,112
"512",56925,346,2,112
"513",42203,817,2,112
"514",43312,323,2,112
"515",42205,776,2,112
"516",38029,320,2,112
"517",38908,1782,2,112
"518",56928,326,2,112
"519",18580,356,2,112
"520",43319,308,2,112
"521",41117,330,2,112
"522",18297,352,2,112
"523",25975,320,2,112
"524",25970,316,2,112
"525",25972,326,2,112
"526",18548,343,2,112
"527",18243,317,2,112
"528",18575,366,2,112
"529",55753,620,2,112
"530",38059,364,2,112
"531",56935,366,2,112
"532",18563,320,2,112
"533",55751,669,2,112
"534",21059,345,2,112
"535",18561,316,2,112
"536",38101,354,2,112
"537",18234,347,2,112
"538",42219,609,2,112
"539",42216,611,2,112
"540",42220,601,2,112
"541",18514,337,2,112
"542",43385,1782,2,112
"543",42224,567,2,112
"544",43386,1774,2,112
"545",38013,346,2,112
"546",42202,830,2,112
"547",18492,324,2,112
"548",18491,321,2,112
"549",38011,348,2,112
"550",25998,342,2,112
"551",42205,779,2,112
"552",41143,304,2,112
"553",56924,352,2,112
"554",43308,321,2,112
"555",41109,352,2,112
"556",42207,798,2,112
"557",1193,272,2,112
"558",38070,330,2,112
"559",38068,344,2,112
"560",21075,327,2,112
"561",42193,822,2,112
"562",18495,367,2,112
"563",25971,317,2,112
"564",38050,337,2,112
"565",18547,304,2,112
"566",48752,835,2,112
"567",43298,330,2,112
"568",38098,343,2,112
"569",18564,364,2,112
"570",38100,342,2,112
"571",18564,362,2,112
"572",25986,312,2,112
"573",56934,313,2,112
"574",56933,328,2,112
"575",55753,624,2,112
"576",48758,827,2,112
"577",48759,829,2,112
"578",43300,329,2,112
"579",43306,319,2,112
"580",43305,318,2,112
"581",56921,357,2,112
"582",43303,317,2,112
"583",21068,318,2,112
"584",55755,625,2,112
"585",42225,578,2,112
"586",38014,345,2,112
"587",42221,565,2,112
"588",42220,595,2,112
"589",38012,347,2,112
"590",18490,317,2,112
"591",56925,347,2,112
"592",56924,349,2,112
"593",38010,351,2,112
"594",21070,320,2,112
"595",48762,818,2,112
"596",38020,329,2,112
"597",56940,358,2,112
"598",18582,349,2,112
"599",18581,352,2,112
"600",38905,1780,2,112
"601",43323,366,2,112
"602",21073,323,2,112
"603",1210,257,2,112
"604",1216,19,2,112
"605",18547,306,2,112
"606",38043,301,2,112
"607",25980,327,2,112
"608",55755,627,2,112
"609",18574,308,2,112
"610",43299,1792,2,112
"611",55753,654,2,112
"612",43350,319,2,112
"613",43265,1795,2,112
"614",18558,345,2,112
"615",18299,349,2,112
"616",43340,331,2,112
"617",18300,345,2,112
"618",43342,330,2,112
"619",18504,351,2,112
"620",18301,329,2,112
"621",26259,346,2,112
"622",42200,834,2,112
"623",18515,354,2,112
"624",42222,561,2,112
"625",18539,329,2,112
"626",42220,597,2,112
"627",21058,346,2,112
"628",25990,303,2,112
"629",21066,317,2,112
"630",18496,361,2,112
"631",25999,354,2,112
"632",18491,320,2,112
"633",21064,315,2,112
"634",18548,338,2,112
"635",41106,23,2,112
"636",42205,789,2,112
"637",38018,330,2,112
"638",38909,1774,2,112
"639",38907,1779,2,112
"640",43316,328,2,112
"641",38066,346,2,112
"642",55757,632,2,112
"643",42193,815,2,112
"644",18298,357,2,112
"645",18547,361,2,112
"646",18547,360,2,112
"647",18842,343,2,112
"648",18566,347,2,112
"649",18565,351,2,112
"650",18561,315,2,112
"651",38892,1790,2,112
"652",43266,1793,2,112
"653",55749,672,2,112
"654",55754,621,2,112
"655",18558,348,2,112
"656",38083,327,2,112
"657",43382,1780,2,112
"658",18562,321,2,112
"659",18842,305,2,112
"660",25993,304,2,112
"661",18843,354,2,112
"662",43302,316,2,112
"663",21069,319,2,112
"664",55756,628,2,112
"665",18515,358,2,112
"666",18492,327,2,112
"667",21062,330,2,112
"668",18496,304,2,112
"669",25995,343,2,112
"670",21080,311,2,112
"671",48762,824,2,112
"672",41105,334,2,112
"673",1206,255,2,112
"674",38040,312,2,112
"675",21065,316,2,112
"676",21063,329,2,112
"677",18542,318,2,112
"678",18492,323,2,112
"679",56928,315,2,112
"680",18509,322,2,112
"681",41116,331,2,112
"682",41115,344,2,112
"683",55750,670,2,112
"684",18494,311,2,112
"685",38042,366,2,112
"686",25994,305,2,112
"687",43304,326,2,112
"688",48753,134,2,112
"689",18237,344,2,112
"690",38052,354,2,112
"691",18565,352,2,112
"692",55750,661,2,112
"693",43344,329,2,112
"694",18503,362,2,112
"695",21060,344,2,112
"696",41133,314,2,112
"697",55751,656,2,112
"698",25991,361,2,112
"699",43335,347,2,112
"700",1217,18,2,112
"701",18271,354,2,112
"702",41360,842,2,112
"703",21089,305,2,112
"704",18491,319,2,112
"705",18490,315,2,112
"706",18313,19,2,112
"707",25988,366,2,112
"708",21092,342,2,112
"709",18510,325,2,112
"710",55756,637,2,112
"711",18489,329,2,112
"712",42202,825,2,112
"713",48703,1527,2,112
"714",38045,361,2,112
"715",38044,303,2,112
"716",56934,312,2,112
"717",18242,316,2,112
"718",42206,784,2,112
"719",18305,328,2,112
"720",26003,19,2,112
"721",38067,345,2,112
"722",26255,348,2,112
"723",18502,357,2,112
"724",18493,314,2,112
"725",41108,356,2,112
"726",41120,316,2,112
"727",18300,348,2,112
"728",18504,352,2,112
"729",48759,819,2,112
"730",43301,315,2,112
"731",55755,626,2,112
"732",38891,1791,2,112
"733",18561,326,2,112
"734",38090,313,2,112
"735",41122,326,2,112
"736",18498,338,2,112
"737",18502,356,2,112
"738",38084,328,2,112
"739",42219,604,2,112
"740",1212,281,2,112
"741",1205,254,2,112
"742",56934,308,2,112
"743",43338,344,2,112
"744",42201,824,2,112
"745",41107,364,2,112
"746",18490,326,2,112
"747",18497,343,2,112
"748",56934,311,2,112
"749",42188,842,2,112
"750",41113,346,2,112
"751",41114,345,2,112
"752",56941,18,2,112
"753",18561,317,2,112
"754",18512,366,2,112
"755",18840,306,2,112
"756",48702,1531,2,112
"757",56933,325,2,112
"758",56925,345,2,112
"759",41110,351,2,112
"760",18508,320,2,112
"761",21087,306,2,112
"762",38081,323,2,112
"763",18560,344,2,112
"764",48756,813,2,112
"765",48756,822,2,112
"766",42190,843,2,112
"767",18297,350,2,112
"768",38038,308,2,112
"769",38046,306,2,112
"770",18504,350,2,112
"771",38091,366,2,112
"772",18560,331,2,112
"773",38047,304,2,112
"774",21071,321,2,112
"775",18590,318,2,112
"776",18590,320,2,112
"777",26006,18,2,112
"778",18590,319,2,112
"779",48755,821,2,112
"780",55751,663,2,112
"781",21061,331,2,112
"782",18489,331,2,112
"783",38039,311,2,112
"784",55751,660,2,112
"785",25996,337,2,112
"786",18490,316,2,112
"787",18230,356,2,112
"788",18560,329,2,112
"789",48700,1530,2,112
"790",18227,19,2,112
"791",41135,311,2,112
"792",55756,629,2,112
"793",26269,329,2,112
"794",42192,836,2,112
"795",56931,323,2,112
"796",48758,823,2,112
"797",43334,348,2,112
"798",21067,326,2,112
"799",18584,348,2,112
"800",25992,306,2,112
"801",21091,337,2,112
"802",26002,358,2,112
"803",38088,311,2,112
"804",18509,327,2,112
"805",41136,312,2,112
"806",18500,19,2,112
"807",18499,358,2,112
"808",18499,359,2,112
"809",38041,313,2,112
"810",21057,347,2,112
"811",38048,305,2,112
"812",18495,303,2,112
"813",38092,301,2,112
"814",18304,324,2,112
"815",43339,1791,2,112
"816",18839,367,2,112
"817",48701,1528,2,112
"818",18508,319,2,112
"819",18509,323,2,112
"820",41112,347,2,112
"821",48762,834,2,112
"822",48702,1533,2,112
"823",48700,1541,2,112
"824",18300,347,2,112
"825",38093,303,2,112
"826",18503,364,2,112
"827",18584,346,2,112
"828",42199,819,2,112
"829",42196,833,2,112
"830",43336,346,2,112
"831",38086,314,2,112
"832",38080,322,2,112
"833",18312,342,2,112
"834",18843,358,2,112
"835",18494,312,2,112
"836",48702,1532,2,112
"837",18566,346,2,112
"838",48770,136,2,112
"839",56932,314,2,112
"840",21088,304,2,112
"841",38089,312,2,112
"842",18496,360,2,112
"843",18565,349,2,112
"844",18228,354,2,112
"845",55757,634,2,112
"846",18509,324,2,112
"847",18838,308,2,112
"848",18312,359,2,112
"849",1207,294,2,112
"850",18504,349,2,112
"851",56935,367,2,112
"852",41132,325,2,112
"853",41128,323,2,112
"854",18499,342,2,112
"855",48768,786,2,112
"856",21094,358,2,112
"857",18229,364,2,112
"858",21096,18,2,112
"859",48754,836,2,112
"860",48770,135,2,112
"861",43363,313,2,112
"862",18841,361,2,112
"863",18584,347,2,112
"864",25987,313,2,112
"865",18297,351,2,112
"866",42200,820,2,112
"867",18240,329,2,112
"868",18843,342,2,112
"869",18232,351,2,112
"870",48768,784,2,112
"871",21085,303,2,112
"872",26272,316,2,112
"873",42207,810,2,112
"874",48770,138,2,112
"875",42190,835,2,112
"876",18840,304,2,112
"877",43332,352,2,112
"878",41137,313,2,112
"879",48769,137,2,112
"880",21090,343,2,112
"881",48700,1529,2,112
"882",26281,324,2,112
"883",26287,311,2,112
"884",41130,327,2,112
"885",38087,308,2,112
"886",21095,19,2,112
"887",42207,799,2,112
"888",48756,815,2,112
"889",56931,322,2,112
"890",25989,301,2,112
"891",42192,841,2,112
"892",26290,366,2,112
"893",18566,348,2,112
"894",18842,338,2,112
"895",26251,364,2,112
"896",56931,324,2,112
"897",18557,352,2,112
"898",18226,359,2,112
"899",48769,810,2,112
"900",18312,358,2,112
"901",26270,315,2,112
"902",48758,833,2,112
"903",18493,325,2,112
"904",41138,366,2,112
"905",43337,345,2,112
"906",21093,354,2,112
"907",18493,328,2,112
"908",26286,308,2,112
"909",26285,314,2,112
"910",18838,312,2,112
"911",18231,352,2,112
"912",42195,826,2,112
"913",18225,18,2,112
"914",26293,361,2,112
"915",18838,311,2,112
"916",48702,1535,2,112
"917",48763,830,2,112
"918",18498,305,2,112
"919",21078,314,2,112
"920",18499,354,2,112
"921",18557,350,2,112
"922",18297,356,2,112
"923",48768,785,2,112
"924",48768,802,2,112
"925",41131,328,2,112
"926",38079,321,2,112
"927",48769,798,2,112
"928",26254,351,2,112
"929",18843,359,2,112
"930",43379,1788,2,112
"931",43362,312,2,112
"932",18844,19,2,112
"933",18512,301,2,112
"934",42216,613,2,112
"935",42217,602,2,112
"936",18842,337,2,112
"937",18297,362,2,112
"938",43376,1785,2,112
"939",38078,320,2,112
"940",21084,301,2,112
"941",42200,818,2,112
"942",18513,360,2,112
"943",42199,832,2,112
"944",26289,313,2,112
"945",18838,313,2,112
"946",26253,352,2,112
"947",18498,337,2,112
"948",21086,361,2,112
"949",55759,640,2,112
"950",18306,313,2,112
"951",21076,328,2,112
"952",43375,1784,2,112
"953",48767,779,2,112
"954",43381,1778,2,112
"955",48767,776,2,112
"956",55759,633,2,112
"957",18306,311,2,112
"958",48769,799,2,112
"959",18311,343,2,112
"960",26292,303,2,112
"961",18513,304,2,112
"962",18512,303,2,112
"963",55757,631,2,112
"964",43364,366,2,112
"965",18495,301,2,112
"966",55760,643,2,112
"967",38085,325,2,112
"968",21083,366,2,112
"969",25954,23,2,112
"970",42199,829,2,112
"971",26273,317,2,112
"972",18310,305,2,112
"973",43380,1789,2,112
"974",41134,308,2,112
"975",18514,305,2,112
"976",18839,301,2,112
"977",18591,327,2,112
"978",18558,346,2,112
"979",41129,324,2,112
"980",38082,324,2,112
"981",21082,313,2,112
"982",18513,361,2,112
"983",42218,610,2,112
"984",26291,301,2,112
"985",41123,318,2,112
"986",48763,828,2,112
"987",43378,1783,2,112
"988",42199,831,2,112
"989",18514,338,2,112
"990",26294,306,2,112
"991",26274,326,2,112
"992",41124,319,2,112
"993",43373,1781,2,112
"994",42194,823,2,112
"995",18557,349,2,112
"996",18559,330,2,112
"997",26252,356,2,112
"998",41127,322,2,112
"999",43377,1786,2,112
"1000",18309,361,2,112
"1001",18844,18,2,112
"1002",18512,367,2,112
"1003",18311,337,2,112
"1004",26280,323,2,112
"1005",42190,838,2,112
"1006",38077,319,2,112
"1007",21081,312,2,112
"1008",18310,338,2,112
"1009",55760,642,2,112
"1010",18513,306,2,112
"1011",42194,827,2,112
"1012",18308,304,2,112
"1013",48764,817,2,112
"1014",18308,360,2,112
"1015",26295,304,2,112
"1016",42218,603,2,112
"1017",26284,325,2,112
"1018",18840,360,2,112
"1019",48763,812,2,112
"1020",38074,317,2,112
"1021",55759,644,2,112
"1022",48767,789,2,112
"1023",18593,325,2,112
"1024",42191,839,2,112
"1025",43374,1775,2,112
"1026",18494,313,2,112
"1027",48764,814,2,112
"1028",43371,1793,2,112
"1029",18306,308,2,112
"1030",26288,312,2,112
"1031",18511,313,2,112
"1032",38076,318,2,112
"1033",42213,617,2,112
"1034",18556,364,2,112
"1035",48767,808,2,112
"1036",18592,328,2,112
"1037",18510,314,2,112
"1038",18557,351,2,112
"1039",55758,630,2,112
"1040",18308,306,2,112
"1041",18307,301,2,112
"1042",18511,312,2,112
"1043",18591,324,2,112
"1044",18307,367,2,112
"1045",18839,303,2,112
"1046",43368,306,2,112
"1047",18306,312,2,112
"1048",21079,308,2,112
"1049",43372,1776,2,112
"1050",21077,325,2,112
"1051",43367,361,2,112
"1052",48762,820,2,112
"1053",43369,304,2,112
"1054",26282,327,2,112
"1055",26278,321,2,112
"1056",41118,329,2,112
"1057",18511,311,2,112
"1058",18558,347,2,112
"1059",48764,816,2,112
"1060",18591,323,2,112
"1061",21072,322,2,112
"1062",18556,356,2,112
"1063",26283,328,2,112
"1064",18307,303,2,112
"1065",48764,783,2,112
"1066",18591,322,2,112
"1067",38075,326,2,112
"1068",18305,314,2,112
"1069",18511,308,2,112
"1070",26276,319,2,112
"1071",18510,328,2,112
"1072",42190,840,2,112
"1073",38073,316,2,112
"1074",18492,322,2,112
"1075",18307,366,2,112
"1076",26277,320,2,112
"1077",26279,322,2,112
"1078",25949,334,2,112
"1079",43365,301,2,112
"1080",18839,366,2,112
"1081",18305,325,2,112
"1082",48763,825,2,112
"1083",43366,303,2,112
"1084",18556,362,2,112
"1085",43370,1795,2,112
"1086",18592,314,2,112
"1087",26275,318,2,112
"1088",18556,357,2,112
"1089",21074,324,2,112
"1090",23875,731,3,112
"1091",48242,918,3,112
"1092",48241,917,3,112
"1093",48243,901,3,112
"1094",48243,893,3,112
"1095",48243,898,3,112
"1096",48242,930,3,112
"1097",56511,1249,3,112
"1098",23874,726,3,112
"1099",46392,1050,3,112
"1100",23872,727,3,112
"1101",48252,2010,3,112
"1102",48218,955,3,112
"1103",48241,905,3,112
"1104",48242,894,3,112
"1105",58104,1974,3,112
"1106",56445,1055,3,112
"1107",48253,2011,3,112
"1108",48225,939,3,112
"1109",48252,2007,3,112
"1110",23150,1298,3,112
"1111",48251,937,3,112
"1112",48225,941,3,112
"1113",23874,720,3,112
"1114",48225,940,3,112
"1115",58107,1954,3,112
"1116",46392,1052,3,112
"1117",58104,1968,3,112
"1118",28286,967,3,112
"1119",28283,1010,3,112
"1120",58102,1967,3,112
"1121",23165,1287,3,112
"1122",58096,1976,3,112
"1123",58099,1962,3,112
"1124",48253,2012,3,112
"1125",48239,932,3,112
"1126",48548,1644,3,112
"1127",48240,926,3,112
"1128",48241,908,3,112
"1129",48292,1904,3,112
"1130",48242,925,3,112
"1131",48547,1645,3,112
"1132",28285,970,3,112
"1133",28283,1015,3,112
"1134",28283,1005,3,112
"1135",23165,1282,3,112
"1136",58101,1965,3,112
"1137",46393,1056,3,112
"1138",48551,1636,3,112
"1139",48250,921,3,112
"1140",45382,1232,3,112
